scientific_name,authority,category
Cornutia obovata,Urb.,CR
Cyanea giffardii,Rock,EX
Cyanea marksii,Rock,CR
Cyanea pycnocarpa,(Hillebr.) E.Wimm.,EX
Cyrtandra giffardii,Rock,EN
Dubautia reticulata,(Sherff) D.D.Keck,VU
Eugenia haematocarpa,Alain,EN
Euphorbia haeleeleana,D.R.Herbst,EN
Fitzroya cupressoides,(Molina) I.M.Johnst.,EN
Gardenia brighamii,H.Mann,CR
Goetzea elegans,Wydler,EN
Hesperomannia lydgatei,Forbes,CR
Hibiscadelphus distans,L.E.Bishop &amp; D.R.Herbst,CR
Hibiscus clayi,O.Deg &amp; I.Deg.,CR
Kokia cookei,O.Deg.,EW
Kokia drynarioides,Lewton,CR
Kokia kauaiensis,(Rock) O.Deg. &amp; Duvel,CR
Labordia lydgatei,Forbes,EN
Leitneria floridana,Chapm.,NT
Marlierea sintenisii,Kiaersk.,VU
Maytenus cymosa,Krug &amp; Urban,EN
Monteverdia ponceana,(Britton) Biral,VU
Morinda trimera,Hillebr.,LR/nt
Myrsine fernseei,(Mez) Hosaka,EN
Myrsine mezii,Hosaka,CR
Myrsine petiolata,Hosaka,CR
Neraudia ovata,Gaudich.,CR
Nothocestrum latifolium,A.Gray,EN
Nothocestrum peltatum,Skottsb.,CR
Melicope remyi,"(Sherff) Appelhans, K.R.Wood &amp; W.L.Wagner",EN
Pleodendron macranthum,(Baill.) Tiegh.,CR
Psidium sintenisii,(Kiaersk.) Alain,CR
Psychotria grandiflora,H.Mann,CR
Pteralyxia kauaiensis,Caum,EN
Quercus arkansana,Sarg.,VU
Quercus graciliformis,C.H.Mull.,CR
Quercus hinckleyi,C.H.Mull.,CR
Quercus oglethorpensis,W.H.Duncan,EN
Quercus tardifolia,C.H.Mull.,DD
Quercus tomentella,Engelm.,EN
Salix floridana,Chapm.,EN
Schoepfia arenaria,Britton,EN
Solanum drymophilum,O.E. Schulz,CR
Stahlia monosperma,(Tul.) Urban,EN
Styrax portoricensis,Krug &amp; Urban,CR
Taxus floridana,Nutt. ex Chapman,CR
Ternstroemia luquillensis,Krug &amp; Urban,CR
Ternstroemia subsessilis,(Britt.) Kobuski,CR
Torreya taxifolia,Arn.,CR
Trichilia triacantha,Urban,CR
Urera kaalae,Wawra,CR
Wikstroemia skottsbergiana,Sparre,CR
Wikstroemia villosa,Hillebr.,CR
Xylosma crenata,(H.St. John) H.St. John,CR
Gaussia gomez-pompae,(H.J.Quero) H.J.Quero,VU
Pinus maximartinezii,Rzed.,EN
Agathis lanceolata,Warb.,VU
Agathis montana,de Laub.,CR
Agathis ovata,(Moore ex Vieill.) Warb.,EN
Araucaria bernieri,J.Buchholz.,VU
Araucaria biramulata,J.Buchholz,VU
Araucaria humboldtensis,J.Buchholz,EN
Araucaria laubenfelsii,Corbasson,NT
Araucaria luxurians,(Brongn. &amp; Gris) de Laub.,EN
Araucaria nemorosa,de Laub.,CR
Araucaria rulei,F.Muell.,EN
Araucaria schmidii,de Laub.,VU
Araucaria scopulorum,de Laub.,EN
Araucaria subulata,Vieill.,NT
Callitris neocaledonica,Dümmer,NT
Callitris sulcata,(Parl.) Schltr.,EN
Libocedrus austrocaledonica,Brongn. &amp; Gris,NT
Libocedrus chevalieri,Buchh.,CR
Libocedrus yateensis,Guillaumin,EN
Neocallitropsis pancheri,(Carrière) de Laub.,EN
Dacrydium araucarioides,Brongn. &amp; Gris,LC
Dacrydium guillauminii,J.T.Buchholz,CR
Dacrydium lycopodioides,Brongn. &amp; Gris,NT
Podocarpus decumbens,N.E.Gray,CR
Parasitaxus usta,(Vieill.) de Laub.,VU
Dacrycarpus vieillardii,(Parl.) de Laub.,LC
